n_inscripcion,nombre,fecha_nacimiento,sexo,comuna,disciplina
262,Matías Morales Rodríguez,2009-01-07,M,Penco,Ajedrez
111,Martina Torres Morales,2009-05-07,F,Chiguayante,Atletismo
151,Martín González López,2010-02-25,M,Penco,Atletismo
424,Tomás Martínez González,2012-04-15,M,Concepción,Vóleibol
279,Diego Torres Muñoz,2010-03-08,M,Penco,Atletismo
465,Javiera Contreras Silva,2007-01-07,F,Concepción,Atletismo
281,Josefa Rodríguez Silva,2012-08-13,F,Concepción,Natación
206,Isidora López Muñoz,2011-01-07,F,Talcahuano,Vóleibol
211,Javiera González Vega,2007-01-22,F,Talcahuano,Atletismo
28,Amanda Pérez Vega,2007-02-03,F,San Pedro de la Paz,Fútbol
490,Gabriel Araya Vega,2008-11-01,M,Talcahuano,Ajedrez
257,Martina López Hernández,2012-01-09,F,Chiguayante,Atletismo
232,Lucas Silva Pérez,2009-03-25,M,Hualpén,Atletismo
159,Sofía Pérez Silva,2011-12-26,F,San Pedro de la Paz,Natación
568,Martín Martínez Silva,2008-11-24,M,Concepción,Atletismo
185,Vicente Sepúlveda Araya,2011-06-22,M,Concepción,Natación
380,Benjamín Vega Araya,2009-02-03,M,Chiguayante,Fútbol
127,Matías López Araya,2007-12-07,M,Talcahuano,Fútbol
309,Lucas Muñoz Soto,2009-06-23,M,Chiguayante,Fútbol
439,Catalina Torres Contreras,2010-06-25,F,Talcahuano,Ajedrez
104,Javiera Sepúlveda Díaz,2011-12-04,F,Concepción,Vóleibol
413,Martina González Soto,2012-03-17,F,Coronel,Fútbol
355,Amanda Pérez Martínez,2007-06-09,F,Concepción,Fútbol
312,Javiera Rodríguez Vega,2010-05-19,F,Concepción,Ajedrez
115,Javiera Muñoz González,2011-05-03,F,San Pedro de la Paz,Atletismo
470,Florencia Rojas Díaz,2009-08-01,F,San Pedro de la Paz,Vóleibol
54,Tomás Flores Hernández,2008-10-11,M,San Pedro de la Paz,Natación
362,Florencia Muñoz Díaz,2009-10-14,F,Chiguayante,Fútbol
239,Amanda López Rojas,2007-03-03,F,Hualpén,Ajedrez
489,Diego Silva Contreras,2012-08-19,M,Talcahuano,Fútbol
436,Martín Araya Morales,2007-01-09,M,Coronel,Ajedrez
161,Antonia Vega González,2010-09-23,F,Concepción,Atletismo
128,Antonia Espinoza Martínez,2007-06-04,F,Chiguayante,Natación
237,Martín Rojas Fuentes,2008-06-11,M,Concepción,Atletismo
549,Diego Muñoz Vega,2009-06-19,M,Talcahuano,Natación
64,Gabriel Soto López,2012-06-28,M,Talcahuano,Ajedrez
358,Diego Pérez Fuentes,2007-05-21,M,Tomé,Atletismo
219,Antonia Silva Morales,2010-06-22,F,Coronel,Atletismo
310,Javiera Soto Torres,2008-08-11,F,Hualpén,Fútbol
468,Isidora Contreras Torres,2009-08-11,F,Talcahuano,Natación
536,Sofía Rojas Torres,2007-07-09,F,Talcahuano,Ajedrez
335,Antonia Muñoz Rodríguez,2007-01-04,F,Talcahuano,Atletismo
277,Emilia Muñoz Muñoz,2011-12-21,F,Tomé,Vóleibol
226,Martín Díaz Torres,2008-09-12,M,Talcahuano,Fútbol
271,Diego Martínez Soto,2012-08-04,M,Concepción,Natación
186,Martín González Pérez,2012-07-27,M,Talcahuano,Fútbol
375,Catalina Martínez Rodríguez,2012-06-03,F,Talcahuano,Atletismo
184,Josefa Morales Martínez,2011-07-25,F,Hualpén,Ajedrez
376,Joaquín Muñoz Araya,2008-04-18,M,Talcahuano,Natación
57,Martín Pérez Rojas,2008-04-25,M,Talcahuano,Ajedrez
98,Josefa Flores Muñoz,2009-02-16,F,Hualpén,Fútbol
488,Isidora Flores Silva,2009-01-05,F,Chiguayante,Vóleibol
93,Gabriel Araya Fuentes,2011-08-24,M,Chiguayante,Vóleibol
215,Joaquín Soto Muñoz,2010-06-20,M,Chiguayante,Natación
85,Agustín González Rojas,2008-02-25,M,Coronel,Fútbol
19,Benjamín Sepúlveda Contreras,2009-06-24,M,San Pedro de la Paz,Natación
351,Josefa Muñoz Hernández,2007-01-02,F,San Pedro de la Paz,Natación
280,Javiera Vega Soto,2008-11-02,F,Chiguayante,Natación
460,Florencia Rodríguez Soto,2007-07-02,F,San Pedro de la Paz,Atletismo
374,Benjamín Contreras Rojas,2009-08-04,M,Hualpén,Natación
259,Martín López Espinoza,2012-06-22,M,Hualpén,Vóleibol
493,Sofía Contreras Espinoza,2009-09-07,F,Talcahuano,Ajedrez
303,Emilia Díaz Soto,2012-10-18,F,Talcahuano,Vóleibol
370,Matías Espinoza Espinoza,2008-04-20,M,Hualpén,Vóleibol
163,Antonia Torres Espinoza,2011-01-14,F,Talcahuano,Vóleibol
166,Matías Espinoza Muñoz,2011-09-07,M,Concepción,Ajedrez
384,Amanda Fuentes Hernández,2009-09-23,F,Talcahuano,Fútbol
394,Emilia Flores Rojas,2008-08-23,F,Coronel,Fútbol
547,Isidora Díaz Díaz,2009-10-25,F,San Pedro de la Paz,Atletismo
140,Catalina Rodríguez Torres,2007-03-17,F,San Pedro de la Paz,Natación
223,Isidora Hernández Hernández,2010-01-26,F,Concepción,Fútbol
225,Josefa Martínez Sepúlveda,2008-07-12,F,Hualpén,Fútbol
31,Gabriel Torres Sepúlveda,2008-10-19,M,Hualpén,Fútbol
255,Isidora Espinoza Espinoza,2011-06-08,F,Hualpén,Fútbol
209,Sofía Contreras Hernández,2008-03-02,F,Chiguayante,Atletismo
260,Sofía Hernández Rodríguez,2010-07-28,F,Talcahuano,Atletismo
344,Amanda Morales Araya,2012-09-08,F,Chiguayante,Ajedrez
290,Agustín Muñoz Flores,2009-03-04,M,Hualpén,Ajedrez
90,Vicente Muñoz Martínez,2010-06-25,M,Concepción,Ajedrez
158,Sofía Contreras Morales,2012-02-09,F,San Pedro de la Paz,Vóleibol
207,Sofía Vega Torres,2011-02-07,F,Talcahuano,Fútbol
431,Isidora Díaz Díaz,2007-12-27,F,Talcahuano,Vóleibol
301,Benjamín Muñoz Rojas,2011-10-12,M,San Pedro de la Paz,Vóleibol
492,Emilia Flores Pérez,2009-10-12,F,San Pedro de la Paz,Fútbol
397,Sofía Araya González,2008-07-08,F,Hualpén,Vóleibol
276,Martín Muñoz Sepúlveda,2008-03-24,M,Hualpén,Atletismo
154,Vicente Vega Soto,2010-11-19,M,Concepción,Fútbol
315,Florencia Sepúlveda Sepúlveda,2008-02-04,F,Coronel,Fútbol
339,Sofía Hernández Soto,2010-01-08,F,Penco,Natación
289,Isidora Hernández Muñoz,2009-09-27,F,Hualpén,Ajedrez
475,Matías Martínez Fuentes,2011-01-05,M,Penco,Atletismo
516,Javiera Díaz González,2007-07-01,F,Talcahuano,Natación
432,Javiera Rodríguez Vega,2008-05-05,F,Concepción,Vóleibol
76,Josefa González Soto,2010-11-16,F,Tomé,Vóleibol
174,Catalina González Torres,2011-12-20,F,Tomé,Natación
14,Martín Espinoza Rodríguez,2008-01-13,M,Concepción,Natación
357,Isidora Sepúlveda Rojas,2011-04-10,F,Talcahuano,Atletismo
407,Lucas Torres Silva,2007-03-07,M,San Pedro de la Paz,Ajedrez
538,Javiera Soto Vega,2010-06-12,F,Coronel,Vóleibol
400,Matías Torres Contreras,2007-10-17,M,Talcahuano,Atletismo
216,Emilia Flores Soto,2007-08-17,F,Hualpén,Ajedrez
425,Javiera Contreras Araya,2011-04-14,F,Concepción,Vóleibol
66,Joaquín Martínez Vega,2008-09-13,M,Concepción,Atletismo
113,Florencia Fuentes Soto,2008-08-18,F,Hualpén,Vóleibol
438,Emilia Vega Espinoza,2011-04-24,F,Penco,Fútbol
178,Emilia Flores Martínez,2009-12-22,F,Penco,Natación
46,Agustín Araya Contreras,2007-06-01,M,San Pedro de la Paz,Atletismo
323,Diego Torres Rojas,2011-12-17,M,Talcahuano,Ajedrez
285,Joaquín Rojas Sepúlveda,2011-05-15,M,San Pedro de la Paz,Vóleibol
474,Josefa Hernández Silva,2010-06-23,F,Chiguayante,Natación
404,Matías González Hernández,2010-04-21,M,Concepción,Natación
553,Josefa Martínez Soto,2011-08-21,F,Talcahuano,Ajedrez
44,Agustín Espinoza Muñoz,2010-12-12,M,Chiguayante,Natación
172,Joaquín Hernández Sepúlveda,2007-12-05,M,Coronel,Fútbol
145,Catalina Martínez Rojas,2011-02-22,F,San Pedro de la Paz,Fútbol
346,Lucas Muñoz Díaz,2012-10-06,M,San Pedro de la Paz,Atletismo
84,Vicente Pérez Rodríguez,2010-12-13,M,Chiguayante,Vóleibol
22,Joaquín González Contreras,2010-12-10,M,Talcahuano,Vóleibol
89,Javiera Fuentes Rodríguez,2009-10-08,F,Concepción,Fútbol
386,Vicente Soto Pérez,2008-11-14,M,Concepción,Atletismo
132,Agustín Contreras Hernández,2009-04-04,M,Penco,Natación
396,Catalina Espinoza Pérez,2010-05-10,F,Talcahuano,Natación
345,Matías Díaz Soto,2007-03-08,M,Talcahuano,Ajedrez
11,Martín Contreras Espinoza,2011-01-06,M,Talcahuano,Vóleibol
427,Antonia Díaz González,2010-06-12,F,Talcahuano,Atletismo
4,Sofía Flores Rodríguez,2010-02-09,F,Concepción,Natación
482,Sofía Soto Sepúlveda,2007-02-11,F,Chiguayante,Ajedrez
2,Agustín Rodríguez Vega,2007-09-11,M,Chiguayante,Ajedrez
390,Benjamín Rodríguez Soto,2007-05-01,M,Hualpén,Fútbol
114,Matías Espinoza Araya,2012-01-23,M,Hualpén,Ajedrez
74,Martín Pérez López,2012-10-25,M,Concepción,Ajedrez
449,Martina Sepúlveda Espinoza,2010-04-03,F,Penco,Fútbol
144,Agustín Flores López,2010-09-06,M,San Pedro de la Paz,Vóleibol
519,Amanda Torres Vega,2012-09-22,F,Hualpén,Ajedrez
502,Javiera Soto Flores,2011-07-26,F,Tomé,Fútbol
182,Emilia Silva Espinoza,2010-10-14,F,Tomé,Atletismo
497,Martina Vega Martínez,2012-03-22,F,Chiguayante,Vóleibol
559,Isidora Silva Torres,2008-03-19,F,Chiguayante,Ajedrez
39,Florencia Sepúlveda Sepúlveda,2012-05-06,F,Talcahuano,Atletismo
389,Amanda Vega Rodríguez,2011-04-27,F,Talcahuano,Atletismo
451,Benjamín Morales Martínez,2008-02-09,M,Tomé,Natación
545,Benjamín Martínez Rojas,2011-03-10,M,Hualpén,Ajedrez
112,Martina Muñoz Díaz,2009-04-27,F,Chiguayante,Natación
32,Agustín Espinoza Contreras,2012-03-01,M,Talcahuano,Natación
87,Matías Contreras Vega,2011-01-04,M,Concepción,Fútbol
139,Agustín Vega Contreras,2011-03-07,M,Penco,Fútbol
320,Florencia Espinoza Vega,2010-10-08,F,Concepción,Natación
68,Gabriel Espinoza Vega,2008-05-17,M,Concepción,Vóleibol
448,Javiera Rodríguez Rojas,2009-12-22,F,Concepción,Ajedrez
452,Joaquín Muñoz Contreras,2008-10-26,M,Chiguayante,Natación
429,Amanda Martínez Silva,2012-10-01,F,Concepción,Ajedrez
307,Amanda Díaz González,2010-10-14,F,Concepción,Vóleibol
349,Javiera Sepúlveda Pérez,2010-04-14,F,Talcahuano,Natación
562,Javiera Silva Martínez,2012-07-21,F,Concepción,Natación
244,Antonia Vega Díaz,2008-03-19,F,Concepción,Vóleibol
265,Antonia Muñoz Soto,2010-11-07,F,Coronel,Vóleibol
155,Martín González Contreras,2012-04-14,M,Chiguayante,Vóleibol
137,Javiera Hernández Morales,2010-07-18,F,Hualpén,Fútbol
193,Lucas Vega Vega,2007-09-11,M,San Pedro de la Paz,Natación
544,Antonia Muñoz Espinoza,2010-11-25,F,Concepción,Fútbol
258,Diego Soto González,2009-07-27,M,Penco,Vóleibol
317,Emilia Díaz González,2008-04-21,F,San Pedro de la Paz,Atletismo
517,Gabriel Contreras Morales,2010-01-27,M,Chiguayante,Ajedrez
117,Matías Sepúlveda Torres,2009-03-06,M,Hualpén,Ajedrez
522,Agustín Soto Fuentes,2007-04-18,M,Talcahuano,Vóleibol
62,Isidora Rodríguez González,2010-08-13,F,Penco,Natación
25,Joaquín Martínez Flores,2008-07-08,M,Coronel,Atletismo
45,Catalina Martínez Vega,2011-01-27,F,Chiguayante,Atletismo
440,Vicente Espinoza López,2009-03-03,M,Hualpén,Fútbol
529,Joaquín Silva Espinoza,2008-11-13,M,Hualpén,Ajedrez
416,Isidora Hernández López,2007-11-16,F,Concepción,Ajedrez
410,Amanda Morales Araya,2010-06-23,F,Concepción,Ajedrez
557,Lucas Contreras Silva,2012-06-19,M,Talcahuano,Atletismo
441,Joaquín Rodríguez González,2007-03-15,M,Penco,Fútbol
129,Diego Soto Vega,2011-08-15,M,Coronel,Fútbol
446,Agustín Sepúlveda Martínez,2011-12-27,M,Tomé,Atletismo
33,Amanda Silva Silva,2010-09-06,F,Hualpén,Ajedrez
304,Benjamín López Rojas,2011-08-22,M,Concepción,Vóleibol
101,Catalina Sepúlveda Morales,2007-04-22,F,Concepción,Vóleibol
518,Catalina Rodríguez Contreras,2012-07-28,F,Hualpén,Natación
256,Vicente González Morales,2009-06-26,M,Talcahuano,Vóleibol
486,Emilia Silva Silva,2011-07-05,F,Hualpén,Atletismo
392,Florencia Rodríguez Hernández,2011-11-24,F,Hualpén,Natación
313,Lucas Rojas Rodríguez,2007-05-22,M,San Pedro de la Paz,Natación
26,Agustín Sepúlveda Pérez,2012-10-15,M,Chiguayante,Ajedrez
150,Martina Silva López,2009-07-12,F,Concepción,Fútbol
422,Matías Rojas Fuentes,2010-01-05,M,Concepción,Natación
487,Vicente Flores Araya,2008-08-11,M,San Pedro de la Paz,Natación
110,Florencia Morales Pérez,2011-03-02,F,Concepción,Fútbol
546,Tomás Díaz Rojas,2012-11-26,M,Talcahuano,Natación
540,Florencia Rodríguez Sepúlveda,2011-07-09,F,Concepción,Natación
254,Joaquín Muñoz Fuentes,2008-09-27,M,Concepción,Fútbol
5,Lucas Torres Díaz,2007-05-27,M,San Pedro de la Paz,Fútbol
368,Martina Fuentes Martínez,2007-08-09,F,Chiguayante,Fútbol
125,Martina Araya López,2009-10-09,F,San Pedro de la Paz,Ajedrez
539,Tomás Martínez Contreras,2011-06-04,M,Coronel,Ajedrez
205,Vicente Muñoz Contreras,2009-11-11,M,Talcahuano,Natación
234,Javiera Espinoza Vega,2009-07-01,F,Concepción,Natación
116,Martín Morales Muñoz,2010-03-25,M,Hualpén,Atletismo
34,Javiera Vega Araya,2010-02-20,F,Tomé,Vóleibol
245,Agustín Vega López,2007-09-14,M,Coronel,Vóleibol
558,Isidora Pérez Contreras,2008-03-23,F,Coronel,Atletismo
120,Vicente Pérez Araya,2011-10-16,M,Coronel,Natación
548,Matías Martínez Díaz,2011-04-02,M,Concepción,Natación
366,Diego Silva Flores,2011-10-08,M,Talcahuano,Ajedrez
299,Emilia Fuentes Muñoz,2010-12-15,F,Chiguayante,Fútbol
118,Sofía Torres González,2007-04-05,F,Penco,Vóleibol
108,Amanda Soto Vega,2007-09-24,F,San Pedro de la Paz,Natación
105,Lucas Torres Silva,2011-09-13,M,Chiguayante,Vóleibol
250,Catalina Sepúlveda Muñoz,2009-03-17,F,Coronel,Ajedrez
92,Catalina Contreras Díaz,2011-05-03,F,San Pedro de la Paz,Vóleibol
491,Amanda Soto Hernández,2007-02-01,F,Penco,Natación
146,Matías Espinoza Hernández,2010-10-18,M,San Pedro de la Paz,Atletismo
50,Lucas Vega Sepúlveda,2007-02-09,M,Tomé,Vóleibol
202,Antonia Rodríguez Fuentes,2008-10-14,F,Chiguayante,Ajedrez
423,Antonia Díaz Soto,2011-10-02,F,Talcahuano,Ajedrez
107,Lucas Hernández Silva,2012-07-02,M,Coronel,Fútbol
228,Tomás Díaz Silva,2010-06-07,M,Chiguayante,Atletismo
187,Tomás Sepúlveda Vega,2007-01-05,M,Talcahuano,Fútbol
300,Lucas Fuentes Araya,2011-02-19,M,Talcahuano,Atletismo
369,Antonia Hernández Rodríguez,2011-09-14,F,Concepción,Fútbol
43,Florencia Contreras Muñoz,2007-10-01,F,Talcahuano,Vóleibol
296,Isidora Sepúlveda González,2008-11-28,F,Concepción,Ajedrez
496,Javiera Torres Fuentes,2011-12-01,F,Concepción,Fútbol
272,Josefa Soto Soto,2007-12-23,F,San Pedro de la Paz,Natación
316,Agustín Morales Fuentes,2008-02-05,M,Concepción,Vóleibol
157,Florencia Sepúlveda Rodríguez,2011-03-17,F,San Pedro de la Paz,Vóleibol
340,Isidora Espinoza González,2008-10-24,F,Coronel,Fútbol
298,Benjamín Torres Espinoza,2011-10-12,M,San Pedro de la Paz,Natación
419,Florencia Contreras González,2007-01-18,F,Chiguayante,Atletismo
395,Gabriel Sepúlveda Araya,2009-01-27,M,Coronel,Natación
162,Benjamín Fuentes Flores,2011-07-19,M,Concepción,Natación
292,Sofía Pérez Pérez,2012-03-24,F,Talcahuano,Natación
454,Isidora Pérez Muñoz,2008-01-01,F,Hualpén,Natación
341,Benjamín Morales Silva,2009-10-14,M,San Pedro de la Paz,Natación
450,Florencia Vega Rodríguez,2008-06-12,F,Talcahuano,Atletismo
138,Amanda Espinoza Fuentes,2008-01-08,F,Concepción,Fútbol
148,Joaquín Soto Contreras,2007-06-01,M,Hualpén,Vóleibol
473,Martín Martínez Morales,2009-01-09,M,Hualpén,Atletismo
60,Agustín Morales López,2010-04-11,M,San Pedro de la Paz,Vóleibol
51,Lucas López Rojas,2011-08-08,M,San Pedro de la Paz,Natación
268,Benjamín Sepúlveda Araya,2011-10-13,M,Concepción,Natación
36,Amanda Contreras Vega,2010-09-19,F,Chiguayante,Natación
136,Florencia Morales Morales,2010-06-24,F,Hualpén,Fútbol
241,Antonia Espinoza Fuentes,2007-08-18,F,Hualpén,Vóleibol
472,Javiera Flores Rodríguez,2012-12-22,F,Hualpén,Natación
214,Sofía Morales Pérez,2007-11-01,F,Hualpén,Atletismo
