id_matricula,rut_estudiante,nombre_estudiante,fecha_nacimiento,sexo,comuna,curso,promedio_notas,asistencia_pct,programa_apoyo,necesidad_educativa,nombre_apoderado,telefono_apoderado
M-7021,24478079-7,Sofía Díaz Araya,2007-03-13,F,San Pedro de la Paz,2º A,5.3,89,Ninguno,No,Catalina López,990172401
M-7022,22960803-3,Antonia Hernández Rodríguez,2011-09-14,F,Concepción,2º C,6.6,80,Ninguno,No,Sofía Hernández,957288294
M-7023,20335381-0,Sofía Rojas Rojas,2009-04-07,F,Tomé,4º B,5.9,95,Ninguno,Discapacidad visual,Isidora Araya,992160650
M-7024,20067996-0,Florencia Pérez Hernández,2009-01-28,F,San Pedro de la Paz,1º A,5.6,100,Ninguno,No,Lucas Silva,919146815
M-7025,20515712-1,Vicente Flores Martínez,2010-01-16,M,Concepción,3º C,5.4,89,Ninguno,No,Lucas Vega,976668637
M-7026,21366116-4,Sofía Soto López,2009-07-16,F,Tomé,3º C,5.0,94,Programa de integración (PIE),No,Amanda Torres,950759752
M-7027,20646364-1,Isidora Martínez Flores,2010-10-19,F,Penco,1º A,6.1,72,Ninguno,No,Diego Flores,948986036
M-7028,22991875-K,Emilia Silva López,2008-07-20,F,Concepción,1º A,6.0,98,Beca alimentación,No,Lucas Vega,957047579
M-7029,21807548-4,Gabriel Araya Fuentes,2011-08-24,M,Chiguayante,3º B,5.9,88,Ninguno,Discapacidad auditiva,Amanda Soto,916631068
M-7030,23351277-5,Sofía Soto Silva,2012-02-12,F,Coronel,1º A,5.2,88,Beca alimentación,No,Martín Muñoz,928446761
M-7031,21930797-4,Amanda Espinoza Hernández,2011-12-17,F,Talcahuano,4º B,5.4,100,Apoyo psicosocial,No,Javiera Martínez,939167458
M-7032,23954729-5,Sofía Morales Pérez,2007-11-01,F,Hualpén,3º B,5.0,81,Beca alimentación,Discapacidad visual,Lucas Espinoza,961013399
M-7033,21582075-8,Lucas Muñoz Araya,2008-10-12,M,Concepción,2º A,6.0,82,Programa de integración (PIE),No,Diego Contreras,925321894
M-7034,22248179-8,Lucas Contreras Sepúlveda,2012-06-27,M,Concepción,4º A,5.9,93,Apoyo psicosocial,No,Tomás Contreras,955379452
M-7035,24490195-0,Agustín Vega Hernández,2009-01-27,M,Chiguayante,2º C,5.5,92,Retención escolar,No,Emilia Espinoza,960771359
M-7036,24063009-K,Isidora Hernández Flores,2010-12-15,F,Concepción,4º C,6.0,82,Ninguno,No,Catalina Vega,982724332
M-7037,22555893-7,Matías Contreras Silva,2009-07-05,M,San Pedro de la Paz,1º A,4.7,88,Beca alimentación,No,Emilia Flores,947790688
M-7038,23323242-K,Diego Silva Flores,2011-10-08,M,Talcahuano,1º A,4.6,99,Retención escolar,Trastorno del lenguaje,Lucas López,986223039
M-7039,20353899-3,Vicente Fuentes Torres,2008-12-11,M,Hualpén,3º A,4.5,93,Beca alimentación,No,Diego Pérez,931165834
M-7040,23900321-K,Gabriel Araya Díaz,2009-05-05,M,Tomé,2º C,5.9,86,Beca alimentación,No,Antonia Vega,947230733
M-7041,21450831-9,Florencia Rojas Contreras,2012-09-08,F,Talcahuano,1º A,6.6,95,Ninguno,No,Antonia Silva,986898739
M-7042,22660389-8,Tomás Fuentes Martínez,2011-10-14,M,Concepción,3º C,5.4,85,Apoyo psicosocial,No,Amanda Pérez,995492161
M-7043,20055536-6,Josefa Rodríguez Araya,2007-05-06,F,Coronel,1º B,7.0,91,Beca alimentación,No,Josefa Martínez,950696538
M-7044,22561232-K,Tomás Díaz Rojas,2012-11-26,M,Talcahuano,3º A,5.7,76,Programa de integración (PIE),No,Isidora Vega,950443856
M-7045,21671682-2,Florencia Hernández Pérez,2008-11-04,F,Chiguayante,3º C,5.4,84,Ninguno,No,Lucas Torres,963638617
M-7046,21228616-5,Gabriel González Muñoz,2010-01-23,M,Concepción,2º A,5.9,84,Ninguno,TDAH,Agustín Rojas,981343496
M-7047,22157864-K,Catalina Torres Contreras,2010-06-25,F,Talcahuano,3º B,5.8,81,Beca alimentación,No,Matías Flores,920988464
M-7048,24088184-K,Tomás Sepúlveda Díaz,2011-10-12,M,Hualpén,1º B,5.8,97,Apoyo psicosocial,No,Catalina Soto,926373322
M-7049,20959572-7,Joaquín Muñoz Fuentes,2008-09-27,M,Concepción,3º A,5.8,89,Apoyo psicosocial,No,Javiera Rodríguez,937775571
M-7050,20519396-9,Sofía Sepúlveda Muñoz,2012-05-06,F,Chiguayante,1º B,5.7,97,Ninguno,No,Martina Rojas,938809662
M-7051,23916923-1,Isidora Díaz Díaz,2007-12-27,F,Talcahuano,2º B,5.3,90,Apoyo psicosocial,Discapacidad auditiva,Joaquín López,980192979
M-7052,21147991-1,Emilia Pérez Espinoza,2012-10-12,F,Concepción,1º A,5.0,100,Ninguno,No,Catalina López,928509276
M-7053,22130417-5,Emilia Muñoz Muñoz,2011-12-21,F,Tomé,2º A,6.7,85,Retención escolar,No,Josefa Muñoz,937771614
M-7054,22999722-6,Lucas Pérez Hernández,2007-07-27,M,Concepción,1º B,5.7,92,Ninguno,Trastorno del lenguaje,Isidora Muñoz,941044369
M-7055,23097527-8,Isidora Rojas Vega,2009-08-28,F,Concepción,3º B,6.3,100,Ninguno,No,Benjamín Rodríguez,955225473
M-7056,20090070-5,Benjamín Sepúlveda Espinoza,2007-02-12,M,Hualpén,3º C,5.5,94,Programa de integración (PIE),No,Isidora Hernández,942157955
M-7057,20466187-K,Gabriel Rojas Hernández,2007-11-19,M,Coronel,3º A,4.6,99,Ninguno,No,Benjamín Silva,948663493
M-7058,21882355-3,Agustín Muñoz Morales,2007-03-09,M,Hualpén,2º B,6.1,100,Retención escolar,No,Vicente González,951262804
M-7059,22216463-6,Vicente Muñoz Vega,2007-02-19,M,Concepción,2º A,4.1,100,Programa de integración (PIE),No,Sofía Morales,985668700
M-7060,23043476-5,Vicente Silva Rojas,2008-07-26,M,Coronel,1º B,5.5,75,Ninguno,Trastorno del lenguaje,Vicente Morales,950831592
M-7061,24032884-9,Diego Espinoza Espinoza,2009-08-10,M,Talcahuano,1º A,5.8,79,Beca alimentación,No,Agustín Vega,919027775
M-7062,22667920-7,Gabriel Araya Vega,2008-11-01,M,Talcahuano,4º C,5.9,100,Ninguno,No,Joaquín Contreras,917549810
M-7063,20886746-4,Joaquín Rodríguez Sepúlveda,2007-12-17,M,San Pedro de la Paz,4º B,7.0,79,Beca alimentación,No,Benjamín Muñoz,946060460
M-7064,21823865-0,Martín Vega González,2012-10-11,M,San Pedro de la Paz,3º B,6.8,84,Apoyo psicosocial,No,Antonia Fuentes,983497687
M-7065,24494962-7,Amanda Morales Araya,2010-06-23,F,Concepción,2º C,6.9,88,Ninguno,Discapacidad auditiva,Matías Sepúlveda,959286171
M-7066,21953033-9,Florencia Soto Espinoza,2008-06-21,F,Talcahuano,4º C,4.6,85,Apoyo psicosocial,No,Martina Hernández,981214357
M-7067,22717623-3,Javiera González López,2009-02-27,F,Concepción,4º C,5.2,87,Ninguno,No,Matías Vega,958476030
M-7068,21919337-5,Isidora Hernández Hernández,2010-01-26,F,Concepción,1º C,5.2,90,Beca alimentación,No,Joaquín Fuentes,997741532
M-7069,22844734-6,Gabriel Sepúlveda Araya,2009-01-27,M,Coronel,1º A,5.6,100,Beca alimentación,No,Joaquín Torres,994658164
M-7070,24221714-9,Florencia Morales Contreras,2008-09-15,F,Talcahuano,2º C,6.0,100,Programa de integración (PIE),No,Agustín Araya,968036618
M-7071,23741344-5,Martín Martínez Rojas,2010-09-09,M,Hualpén,3º C,4.4,83,Programa de integración (PIE),No,Javiera Pérez,946567936
M-7072,21593349-8,Vicente Vega López,2010-11-10,M,San Pedro de la Paz,1º C,6.6,85,Programa de integración (PIE),No,Antonia Espinoza,996155388
M-7073,21748942-0,Benjamín Fuentes Silva,2011-10-12,M,Talcahuano,4º A,6.0,97,Ninguno,No,Emilia Fuentes,921161960
M-7074,20694759-2,Javiera Flores Rodríguez,2012-12-22,F,Hualpén,4º A,5.1,91,Ninguno,No,Javiera Araya,954653234
M-7075,24450723-3,Antonia Hernández Soto,2011-03-23,F,Concepción,2º A,6.5,100,Ninguno,No,Catalina Espinoza,979863200
M-7076,24120194-K,Diego Rojas Díaz,2011-03-16,M,Concepción,2º A,5.4,84,Ninguno,No,Tomás Torres,985866041
M-7077,23053497-2,Javiera Sepúlveda Pérez,2010-04-14,F,Talcahuano,2º A,6.7,78,Beca alimentación,TDAH,Vicente Díaz,986441177
M-7078,24110127-9,Tomás Silva Martínez,2010-09-06,M,Chiguayante,1º A,4.8,73,Ninguno,No,Vicente Flores,929351472
M-7079,22917821-7,Benjamín López Contreras,2009-10-01,M,Hualpén,3º B,6.6,86,Programa de integración (PIE),No,Antonia Sepúlveda,980897790
M-7080,21506165-2,Sofía Pérez Silva,2011-12-26,F,San Pedro de la Paz,1º C,5.1,100,Ninguno,No,Emilia Araya,992744558
M-7081,20433500-K,Joaquín Muñoz Fuentes,2012-04-13,M,Coronel,1º B,5.9,93,Retención escolar,No,Lucas Martínez,983324199
M-7082,24199608-K,Vicente Muñoz Araya,2008-01-26,M,San Pedro de la Paz,2º C,4.8,78,Apoyo psicosocial,No,Amanda Pérez,971913062
M-7083,21665820-2,Joaquín Martínez Vega,2008-09-13,M,Concepción,3º B,6.1,91,Programa de integración (PIE),No,Matías Muñoz,989747207
M-7084,22236099-0,Tomás Flores Hernández,2008-10-11,M,San Pedro de la Paz,3º B,4.8,99,Programa de integración (PIE),No,Lucas Díaz,990247249
M-7085,22866267-0,Matías Rojas Soto,2011-03-24,M,Concepción,4º A,4.6,100,Ninguno,No,Vicente González,937857771
M-7086,23737461-K,Florencia Fuentes Flores,2010-05-04,F,Concepción,1º A,5.2,79,Ninguno,No,Martín López,994224925
M-7087,23065637-7,Florencia Díaz Hernández,2010-01-26,F,Hualpén,4º B,5.0,77,Ninguno,No,Vicente Díaz,947875467
M-7088,21210472-5,Emilia Díaz Soto,2012-10-18,F,Talcahuano,2º C,5.2,84,Programa de integración (PIE),No,Agustín Fuentes,970670510
M-7089,22975149-9,Josefa Espinoza Silva,2007-11-11,F,Penco,2º C,6.4,87,Programa de integración (PIE),No,Vicente Vega,988643112
M-7090,23501144-7,Martina Vega Soto,2011-03-23,F,Hualpén,3º B,6.5,92,Ninguno,No,Josefa Contreras,980388616
M-7091,22463860-0,Matías González Hernández,2010-04-21,M,Concepción,3º C,5.6,79,Retención escolar,No,Matías Muñoz,951572381
M-7092,24312908-1,Lucas Vega Sepúlveda,2007-02-09,M,Tomé,1º A,4.4,98,Programa de integración (PIE),No,Joaquín González,919600082
M-7093,23017509-3,Matías Flores Espinoza,2008-11-10,M,Talcahuano,3º A,4.9,74,Ninguno,No,Javiera Díaz,913632954
M-7094,23714928-4,Tomás Morales Morales,2008-01-08,M,Coronel,1º A,4.9,74,Retención escolar,Discapacidad visual,Tomás Silva,915561224
M-7095,20118358-6,Gabriel Vega Pérez,2012-03-12,M,Hualpén,1º A,6.4,82,Programa de integración (PIE),No,Lucas Silva,911967498
M-7096,24377154-9,Matías Rojas Díaz,2010-02-01,M,Concepción,4º B,5.2,86,Programa de integración (PIE),No,Javiera Vega,983830836
M-7097,23117378-7,Diego Martínez Fuentes,2009-03-28,M,Hualpén,2º A,4.8,100,Ninguno,No,Martina Hernández,933240331
M-7098,20299017-5,Josefa Espinoza González,2007-01-12,F,Concepción,2º B,5.7,97,Ninguno,No,Joaquín Flores,978439664
M-7099,20745237-6,Benjamín Morales Martínez,2008-02-09,M,Tomé,3º A,6.0,100,Programa de integración (PIE),No,Sofía Hernández,983597373
M-7100,21828803-8,Sofía Rojas Torres,2007-07-09,F,Talcahuano,1º A,5.8,95,Beca alimentación,No,Joaquín Rojas,939017661
M-7101,20514778-9,Josefa Rojas Contreras,2010-04-24,F,Chiguayante,2º A,5.4,88,Ninguno,TDAH,Tomás Sepúlveda,913569071
M-7102,24049445-5,Matías Flores Flores,2007-02-11,M,Hualpén,2º A,5.4,93,Ninguno,No,Catalina Díaz,981439572
M-7103,20573881-7,Matías Díaz Soto,2007-03-08,M,Talcahuano,4º B,6.4,99,Retención escolar,No,Javiera González,960585515
M-7104,24065461-4,Antonia Silva Vega,2010-10-18,F,Coronel,1º B,4.7,79,Beca alimentación,No,Tomás Fuentes,915214761
M-7105,22241150-1,Diego Contreras Vega,2010-09-28,M,San Pedro de la Paz,2º A,5.5,83,Ninguno,No,Lucas González,974284498
M-7106,23599816-0,Agustín Soto Contreras,2012-11-25,M,Coronel,2º C,4.9,77,Retención escolar,No,Antonia Díaz,934865677
M-7107,22740614-K,Catalina Pérez Fuentes,2011-01-12,F,Chiguayante,3º A,5.1,88,Ninguno,No,Javiera Contreras,920514989
M-7108,21359099-2,Javiera Fuentes Fuentes,2010-07-11,F,San Pedro de la Paz,1º A,4.1,97,Apoyo psicosocial,No,Gabriel Morales,953082867
M-7109,21023856-2,Benjamín Pérez Sepúlveda,2012-05-17,M,Tomé,3º A,5.7,89,Apoyo psicosocial,No,Diego Pérez,981713542
M-7110,21052395-K,Joaquín Soto Flores,2010-11-09,M,Coronel,4º A,4.8,80,Ninguno,No,Emilia Díaz,977988682
M-7111,23063903-0,Antonia Vega González,2010-09-23,F,Concepción,1º B,5.6,93,Apoyo psicosocial,No,Emilia Torres,932940169
M-7112,22098076-2,Agustín Flores Díaz,2008-01-26,M,Coronel,2º C,6.0,87,Programa de integración (PIE),No,Javiera Hernández,941140219
M-7113,20757724-1,Joaquín López Soto,2010-08-13,M,Hualpén,4º A,6.4,100,Beca alimentación,No,Josefa Rodríguez,987840820
M-7114,22129051-4,Martín Sepúlveda Sepúlveda,2008-03-08,M,Talcahuano,3º B,5.6,74,Ninguno,No,Isidora Díaz,963260337
M-7115,23954591-8,Josefa Sepúlveda Contreras,2009-09-03,F,Concepción,3º C,5.4,91,Ninguno,No,Martina Pérez,915583564
M-7116,23210557-2,Diego Torres Rojas,2011-12-17,M,Talcahuano,3º C,4.8,90,Programa de integración (PIE),No,Lucas Hernández,931945656
M-7117,21347666-9,Amanda Rojas Rojas,2007-09-16,F,Chiguayante,4º B,4.4,64,Programa de integración (PIE),Trastorno del lenguaje,Lucas Hernández,946481602
M-7118,21215814-0,Catalina Hernández Morales,2008-11-06,F,Hualpén,4º B,5.7,93,Ninguno,No,Diego Rodríguez,946354191
M-7119,24004688-6,Catalina Rojas Soto,2011-12-22,F,Talcahuano,3º A,6.2,90,Ninguno,No,Joaquín González,998453604
M-7120,20818012-4,Antonia Sepúlveda López,2009-11-20,F,Penco,3º A,5.6,100,Ninguno,No,Tomás Muñoz,949437025
M-7121,22412720-7,Lucas Torres Díaz,2007-05-27,M,San Pedro de la Paz,1º C,5.6,88,Ninguno,No,Catalina Flores,988531117
M-7122,21255348-1,Isidora Soto Rojas,2009-12-02,F,San Pedro de la Paz,2º A,5.6,100,Retención escolar,No,Benjamín Muñoz,920837737
M-7123,23182254-8,Agustín Sepúlveda López,2010-07-27,M,Tomé,1º A,6.2,96,Apoyo psicosocial,TDAH,Joaquín Espinoza,983043134
M-7124,23278431-3,Antonia Espinoza Fuentes,2007-08-18,F,Hualpén,1º C,5.6,88,Beca alimentación,Discapacidad visual,Gabriel Torres,949237450
M-7125,21248777-2,Florencia Muñoz Sepúlveda,2011-01-05,F,Tomé,2º C,5.4,100,Programa de integración (PIE),No,Diego Silva,973087518
M-7126,20837529-4,Matías Fuentes Sepúlveda,2007-09-17,M,Hualpén,2º C,4.4,78,Ninguno,No,Sofía López,970702128
M-7127,21999185-9,Martín Contreras Díaz,2010-10-16,M,Hualpén,4º C,6.6,95,Ninguno,No,Sofía Rojas,942163720
M-7128,22949285-K,Florencia Soto López,2012-08-27,F,Talcahuano,3º C,4.3,96,Beca alimentación,No,Martín Vega,961657425
M-7129,22446585-4,Javiera Contreras Araya,2011-04-14,F,Concepción,4º B,6.2,100,Apoyo psicosocial,No,Joaquín Espinoza,910419929
M-7130,22719509-2,Gabriel Hernández Pérez,2010-12-24,M,Concepción,4º C,5.2,92,Ninguno,TDAH,Florencia Díaz,962184033
M-7131,23973823-6,Martín Espinoza Rodríguez,2008-01-13,M,Concepción,2º A,5.1,83,Beca alimentación,No,Martina Díaz,951144563
M-7132,22474097-9,Florencia Martínez Espinoza,2008-04-05,F,Hualpén,2º C,5.7,68,Ninguno,No,Emilia Contreras,926117518
M-7133,21922891-8,Benjamín López Hernández,2012-07-26,M,Penco,3º C,4.2,91,Apoyo psicosocial,No,Agustín Fuentes,944082776
M-7134,21244624-3,Isidora Silva Espinoza,2012-10-13,F,Concepción,4º B,5.4,90,Ninguno,No,Antonia Flores,934709894
M-7135,21619382-K,Isidora Rojas Araya,2008-09-03,F,Talcahuano,4º B,4.9,87,Apoyo psicosocial,No,Martina González,917926478
M-7136,23322491-5,Agustín Pérez Silva,2009-01-08,M,Concepción,3º B,5.5,91,Ninguno,No,Sofía Silva,916822439
M-7137,23632291-8,Gabriel Soto Morales,2009-11-05,M,Chiguayante,3º C,5.7,100,Beca alimentación,No,Amanda Soto,963150980
M-7138,23575258-7,Vicente Sepúlveda Araya,2011-06-22,M,Concepción,2º C,6.7,79,Ninguno,No,Martina Silva,942084629
M-7139,21287969-7,Javiera Torres Espinoza,2011-07-09,F,Talcahuano,2º A,6.1,93,Ninguno,Trastorno del lenguaje,Joaquín Flores,931882737
M-7140,21337813-6,Josefa Torres Pérez,2012-09-10,F,Penco,2º A,4.7,99,Beca alimentación,No,Tomás Sepúlveda,999293437
M-7141,23909949-7,Sofía Rojas Hernández,2012-03-09,F,Concepción,4º A,5.9,81,Ninguno,No,Tomás Fuentes,932910886
M-7142,24043796-6,Matías Sepúlveda Sepúlveda,2012-09-04,M,Coronel,1º A,4.3,88,Ninguno,No,Diego Araya,949534251
M-7143,23688754-0,Sofía Fuentes Silva,2011-05-19,F,San Pedro de la Paz,2º A,5.3,93,Beca alimentación,No,Antonia Martínez,993273466
M-7144,20318582-9,Antonia Rodríguez Muñoz,2011-01-26,F,San Pedro de la Paz,2º B,5.3,80,Ninguno,No,Joaquín Flores,924101295
M-7145,20829670-K,Lucas Sepúlveda Pérez,2010-11-19,M,Concepción,1º B,5.8,91,Ninguno,No,Benjamín Vega,966315963
M-7146,24301313-K,Diego Soto Pérez,2009-05-14,M,Tomé,3º C,5.4,100,Ninguno,Trastorno del lenguaje,Florencia Soto,960525214
M-7147,22508137-5,Sofía López Rodríguez,2007-10-09,F,Talcahuano,4º C,5.3,81,Programa de integración (PIE),No,Vicente Muñoz,916248800
M-7148,21438418-0,Josefa Díaz Flores,2011-09-21,F,Talcahuano,4º B,5.5,89,Ninguno,No,Javiera Torres,968323202
M-7149,22101713-3,Isidora Rojas Díaz,2012-01-06,F,Coronel,4º B,5.4,93,Beca alimentación,Trastorno del lenguaje,Martina Morales,994019379
M-7150,21509656-1,Diego Hernández Espinoza,2011-04-04,M,Talcahuano,4º B,6.0,93,Programa de integración (PIE),No,Gabriel González,912148443
M-7151,21265868-2,Martina Sepúlveda Hernández,2010-11-02,F,Talcahuano,3º B,5.6,95,Ninguno,No,Diego Morales,993866407
M-7152,23949042-0,Lucas Silva Pérez,2009-03-25,M,Hualpén,3º A,6.5,100,Ninguno,No,Amanda Soto,997000237
M-7153,22046685-6,Martina González Soto,2012-03-17,F,Coronel,4º C,5.1,92,Apoyo psicosocial,No,Amanda Morales,922213918
M-7154,23157395-5,Martina Soto González,2010-03-17,F,Concepción,3º C,5.3,100,Ninguno,No,Tomás Fuentes,943355845
M-7155,23665333-7,Tomás Hernández Pérez,2012-05-05,M,Penco,1º A,4.8,79,Retención escolar,No,Florencia Sepúlveda,932222975
M-7156,21600824-0,Tomás Rodríguez Soto,2008-09-28,M,Chiguayante,3º B,5.9,83,Ninguno,Trastorno del lenguaje,Sofía Soto,933821980
M-7157,20755353-9,Sofía Hernández Torres,2009-12-04,F,Coronel,4º A,6.3,82,Ninguno,No,Josefa Morales,946470595
M-7158,21618801-K,Catalina Araya Araya,2011-07-15,F,Talcahuano,1º B,5.5,90,Apoyo psicosocial,Trastorno del lenguaje,Sofía Hernández,930436543
M-7159,20296572-3,Diego Vega Espinoza,2010-10-06,M,San Pedro de la Paz,2º B,6.1,86,Beca alimentación,Trastorno del lenguaje,Javiera Rojas,993344906
M-7160,21277793-2,Diego Díaz Morales,2008-04-05,M,San Pedro de la Paz,2º B,5.8,78,Apoyo psicosocial,No,Florencia Martínez,939747191
M-7161,22621382-8,Benjamín Muñoz Rojas,2011-10-12,M,San Pedro de la Paz,1º C,6.5,88,Beca alimentación,No,Joaquín Araya,993064319
M-7162,22639047-9,Benjamín Vega Araya,2009-02-03,M,Chiguayante,3º B,5.0,100,Beca alimentación,No,Catalina Sepúlveda,975195494
M-7163,24376476-3,Lucas Vega Muñoz,2012-12-23,M,Coronel,4º B,6.8,80,Retención escolar,No,Agustín Díaz,982494776
M-7164,23947783-1,Martina Rodríguez Morales,2012-09-10,F,Coronel,3º B,5.7,92,Beca alimentación,No,Antonia Araya,915852826
M-7165,22828920-1,Agustín Rodríguez Vega,2007-09-11,M,Chiguayante,4º B,4.5,85,Ninguno,No,Martín Rodríguez,935992586
M-7166,24207850-5,Catalina Soto López,2007-03-01,F,Concepción,1º A,5.8,83,Programa de integración (PIE),No,Tomás Muñoz,980268878
M-7167,22056407-6,Javiera Torres Rodríguez,2009-08-22,F,Concepción,3º C,6.6,76,Ninguno,No,Vicente Espinoza,965183734
M-7168,20142907-0,Joaquín Soto Muñoz,2010-06-20,M,Chiguayante,2º A,5.8,98,Retención escolar,No,Matías Morales,958192508
M-7169,22285650-3,Josefa Flores González,2009-11-12,F,Tomé,4º C,5.6,91,Ninguno,No,Joaquín Fuentes,988976253
M-7170,21838325-1,Benjamín Muñoz Díaz,2007-11-18,M,Talcahuano,4º A,6.2,85,Apoyo psicosocial,No,Martín Fuentes,930465251
M-7171,24199618-7,Martina González Silva,2010-03-27,F,Coronel,1º C,6.1,73,Beca alimentación,No,Martina Torres,946363577
M-7172,22951759-3,Benjamín Martínez Torres,2010-12-11,M,Concepción,3º A,5.3,100,Apoyo psicosocial,No,Martina Vega,970667914
M-7173,22053841-5,Diego Soto Contreras,2008-11-24,M,Talcahuano,2º B,5.6,78,Beca alimentación,No,Diego Torres,951866895
M-7174,24071406-4,Catalina Sepúlveda Morales,2007-04-22,F,Concepción,1º B,5.6,94,Ninguno,No,Emilia Martínez,967857731
M-7175,21386248-8,Martina Rojas Soto,2010-10-14,F,San Pedro de la Paz,1º C,6.5,81,Ninguno,No,Benjamín Morales,976982044
M-7176,24380088-3,Javiera Vega Silva,2012-05-04,F,Talcahuano,4º C,7.0,90,Ninguno,Trastorno del lenguaje,Antonia Fuentes,971426195
M-7177,23612751-1,Javiera Fuentes Vega,2010-04-22,F,Penco,4º B,5.1,99,Beca alimentación,No,Vicente Rodríguez,997292472
M-7178,22479018-6,Gabriel Araya Araya,2010-02-21,M,Talcahuano,1º C,6.3,79,Programa de integración (PIE),No,Martina Díaz,988359613
M-7179,22460564-8,Catalina Martínez Rojas,2011-02-22,F,San Pedro de la Paz,1º C,5.2,92,Beca alimentación,No,Josefa Flores,965378207
M-7180,21172335-9,Antonia Muñoz Rodríguez,2007-01-04,F,Talcahuano,3º B,5.7,91,Beca alimentación,No,Catalina Díaz,993081517
M-7181,23083662-6,Amanda Espinoza Fuentes,2008-01-08,F,Concepción,2º C,6.2,93,Retención escolar,No,Javiera Muñoz,937123567
M-7182,23505587-8,Sofía Hernández Soto,2010-01-08,F,Penco,1º A,6.5,81,Programa de integración (PIE),No,Matías Rojas,920364528
M-7183,20859851-K,Isidora Pérez Contreras,2011-01-19,F,Chiguayante,4º A,5.7,81,Ninguno,No,Sofía Flores,969958302
M-7184,23962763-9,Matías López Soto,2010-11-01,M,Concepción,1º A,5.1,81,Ninguno,No,Martín Muñoz,969673874
M-7185,22422045-2,Antonia Rojas Soto,2011-08-27,F,Penco,3º C,5.3,95,Retención escolar,No,Diego Pérez,929372088
M-7186,22783423-0,Catalina Soto Vega,2010-10-28,F,Concepción,1º A,5.0,82,Programa de integración (PIE),No,Martina Soto,957179784
M-7187,24239316-8,Josefa Flores Rojas,2012-09-02,F,Concepción,1º C,5.2,94,Beca alimentación,No,Tomás Díaz,920432611
M-7188,20074276-K,Diego Vega Soto,2011-03-14,M,Chiguayante,4º C,4.5,100,Beca alimentación,No,Isidora Pérez,938169734
M-7189,20496643-3,Emilia Martínez Silva,2007-09-06,F,Penco,2º B,4.4,87,Ninguno,No,Tomás Hernández,993905369
